svt_date,drop,type,freq
2022-03-05,3,pump,8
2022-03-06,3,pump,7
2022-03-07,5,pump,8
2022-03-08,4,pump,7
2022-03-09,5,pump,5
2022-03-10,4,pump,5
2022-03-11,5,pump,6
2022-03-12,4,pump,6
2022-03-13,5,pump,7
2022-03-14,4,pump,6
2022-03-15,5,pump,6
2022-03-16,4,pump,6
2022-03-17,6,pump,8
2022-03-18,5,pump,5
2022-03-19,4,pump,6
2022-03-20,5,pump,7
2022-03-21,4,pump,7
2022-03-22,6,pump,6
2022-03-23,5,pump,6
2022-03-24,3,pump,6
2022-03-25,4,pump,5
2022-03-26,5,pump,6
2022-03-27,7,pump,6
2022-03-28,8,pump,6
2022-03-29,6,pump,6
2022-03-30,5,pump,5
2022-03-31,4,pump,5
2022-04-01,5,pump,5
2022-04-02,5,pump,6
2022-04-03,7,pump,5
2022-04-04,4,pump,5
2022-04-05,4,pump,5
2022-04-06,5,pump,5
2022-04-07,5,pump,5
2022-04-08,5,pump,5
2022-04-09,4,pump,5
2022-04-10,6,pump,5
2022-04-11,6,pump,4
2022-04-12,5,pump,3
2022-04-13,6,pump,4
2022-04-14,5,pump,4
2022-04-15,4,pump,5
2022-04-16,5,pump,4
2022-04-17,7,pump,3
2022-04-18,6,pump,4
2022-04-19,6,pump,4
2022-04-20,4,pump,4
2022-04-21,5,pump,5
2022-04-22,6,pump,4
2022-04-23,5,pump,4
2022-04-24,6,pump,3
2022-04-25,5,pump,5
2022-04-26,5,pump,4
2022-04-27,5,pump,4
2022-04-28,6,pump,4
2022-04-29,5,pump,4
2022-04-30,7,pump,4
2022-05-01,5,pump,3
2022-05-02,5,pump,3
2022-05-03,6,pump,3
2022-05-04,7,pump,4
2022-05-05,5,pump,3
2022-05-06,6,pump,3
2022-05-07,7,pump,3
2022-05-08,5,pump,4
2022-05-09,6,pump,2
